Cat‚gorie	Mot-cl‚ (FR)	Keyword (EN)
Opportunit‚s de financement	appel … manifestation d?int‚rˆt	call for expression of interest
Opportunit‚s de financement	appel … candidatures	call for applications
Opportunit‚s de financement	appel … consultants	call for consultants
Opportunit‚s de financement	subvention … l?innovation	innovation grant
Opportunit‚s de financement	financement de projet R&D	R&D project funding
Opportunit‚s de financement	programme d?accompagnement	support program
Opportunit‚s de financement	fonds de soutien	support fund
Opportunit‚s de financement	concours d?innovation	innovation competition
Opportunit‚s de financement	programme d?incubation	incubation program
Opportunit‚s de financement	programme d?acc‚l‚ration	acceleration program
Opportunit‚s de financement	mission de conseil	consulting assignment
Opportunit‚s de financement	march‚ public	public procurement
Opportunit‚s de financement	partenariat strat‚gique	strategic partnership
Opportunit‚s de financement	prestation de services	service delivery
Opportunit‚s de financement	mission d?expertise	expert mission
Deeptech & Technologies	deeptech	deeptech
Deeptech & Technologies	biotechnologie	biotechnology
Deeptech & Technologies	medtech	medtech
Deeptech & Technologies	greentech	greentech
Deeptech & Technologies	agritech	agritech
Deeptech & Technologies	climatetech	climatetech
Deeptech & Technologies	healthtech	healthtech
Deeptech & Technologies	nanotechnologie	nanotechnology
Deeptech & Technologies	robotique	robotics
Deeptech & Technologies	intelligence artificielle	artificial intelligence
Deeptech & Technologies	machine learning	machine learning
Deeptech & Technologies	industrie 4.0	industry 4.0
Deeptech & Technologies	mat‚riaux avanc‚s	advanced materials
Deeptech & Technologies	technologies propres	clean technologies
Deeptech & Technologies	‚nergies renouvelables	renewable energy
Deeptech & Technologies	cybers‚curit‚	cybersecurity
Deeptech & Technologies	data science	data science
Deeptech & Technologies	internet des objets	internet of things
D‚veloppement & Impact	d‚veloppement durable	sustainable development
D‚veloppement & Impact	r‚silience climatique	climate resilience
D‚veloppement & Impact	inclusion ‚conomique	economic inclusion
D‚veloppement & Impact	autonomisation par l?innovation	empowerment through innovation
D‚veloppement & Impact	innovation sociale	social innovation
D‚veloppement & Impact	croissance inclusive	inclusive growth
D‚veloppement & Impact	impact soci‚tal	social impact
D‚veloppement & Impact	autonomisation des jeunes	youth empowerment
D‚veloppement & Impact	digitalisation des services	services digitalization
D‚veloppement & Impact	souverainet‚ technologique	technological sovereignty
D‚veloppement & Impact	d‚veloppement territorial	territorial development
D‚veloppement & Impact	transformation num‚rique	digital transformation
D‚veloppement & Impact	autonomisation des chercheurs	researcher empowerment
D‚veloppement & Impact	int‚gration de la diaspora	diaspora integration
Open Innovation, PME, Industrie & Impact	open innovation	open innovation
Open Innovation, PME, Industrie & Impact	innovation ouverte	open innovation
Open Innovation, PME, Industrie & Impact	collaboration intersectorielle	cross-sector collaboration
Open Innovation, PME, Industrie & Impact	partenariats industriels	industrial partnerships
Open Innovation, PME, Industrie & Impact	innovation orient‚e march‚	market-driven innovation
Open Innovation, PME, Industrie & Impact	PME innovantes	innovative SMEs
Open Innovation, PME, Industrie & Impact	entrepreneuriat industriel	industrial entrepreneurship
Open Innovation, PME, Industrie & Impact	accŠs au march‚	market access
Open Innovation, PME, Industrie & Impact	renforcement des chaŒnes de valeur	value chain strengthening
Open Innovation, PME, Industrie & Impact	inclusion ‚conomique	economic inclusion
Open Innovation, PME, Industrie & Impact	impact ‚conomique	economic impact
Open Innovation, PME, Industrie & Impact	impact soci‚tal	social impact
Open Innovation, PME, Industrie & Impact	autonomisation ‚conomique	economic empowerment
Open Innovation, PME, Industrie & Impact	comp‚titivit‚ industrielle	industrial competitiveness
Open Innovation, PME, Industrie & Impact	recherche appliqu‚e	applied research
Open Innovation, PME, Industrie & Impact	mont‚e en comp‚tences	skills development
Open Innovation, PME, Industrie & Impact	transfert de savoir-faire	know-how transfer
Open Innovation, PME, Industrie & Impact	co-d‚veloppement	co-development
Open Innovation, PME, Industrie & Impact	leadership technologique	technology leadership
