Title,URL,Description,Start_date,Deadline
UKRI policy fellowships 2025,https://www.ukri.org/opportunity/ukri-policy-fellowships-2025/,"Spend 18 months as a UK Research and Innovation (UKRI) core policy fellow, Natural Hazards and Resilience policy fellow or What Works Innovation fellow to inform policy to address pressing national and global challenges.",22 April 2025 9:00am UK time,15 July 2025 4:00pm UK time
Applied global health research: stage two,https://www.ukri.org/opportunity/applied-global-health-research-invited-stage-two/,Apply for funding to support applied research that will address global health challenges and inequities.,30 April 2025 9:00am UK time,16 July 2025 4:00pm UK time
2025 to 2026 strategic Longer and Larger (sLoLa) grants: stage one,https://www.ukri.org/opportunity/2025-to-2026-strategic-longer-and-larger-slola-grants/,Apply for funding to undertake large team-based fundamental bioscience research projects which push the frontiers of human knowledge.,29 May 2025 9:00am UK time,24 July 2025 4:00pm UK time
Applied global health partnership: stage two,https://www.ukri.org/opportunity/applied-global-health-partnership-invited-stage-two/,Apply for funding to support a new research partnership to enable the development and delivery of novel research that will address global health challenges and inequities.,30 April 2025 9:00am UK time,16 July 2025 4:00pm UK time
Collaborate with researchers in Norway,https://www.ukri.org/opportunity/collaborate-with-researchers-in-norway/,UKRI and Research Council of Norway have signed a Money Follows Cooperation agreement to enable collaborative applications between researchers in the UK and Norway. UKRI funding will be provided for project co-leads based in Norway in successful applications. Applications must be submitted through existing council programmes.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Collaborative doctoral landscape award in the arts and humanities,https://www.ukri.org/opportunity/collaborative-doctoral-landscape-award-in-the-arts-and-humanities/,"Apply for a collaborative doctoral landscape award in the arts and humanities. These awards enable UK non-higher education institutions (non-HEI), individual or consortia, to support high-quality doctoral training.",10 April 2025 9:00am UK time,20 November 2025 4:00pm UK time
PATT travel grants for competitively awarded observation time 2025,https://www.ukri.org/opportunity/patt-travel-grants-for-competitively-awarded-observation-time-2025/,You can apply for travel and subsistence in support of competitively awarded science observation time at astronomy facilities available to the UK research community.,21 August 2025 9:00am UK time,16 October 2025 4:00pm UK time
Developmental pathway funding scheme: stage one,https://www.ukri.org/opportunity/developmental-pathway-funding-scheme/,"Apply for funding to develop and test novel therapeutics, medical devices, diagnostics and other interventions.",20 March 2025 9:00am UK time,16 July 2025 4:00pm UK time
"Future Leaders Fellowships: round 10, business and non-academic",https://www.ukri.org/opportunity/future-leaders-fellowships-round-10-business-and-non-academic/,"UK registered organisations can apply for a share of up to £110 million for ambitious research and innovation projects in any sector, and tailored support to develop careers for future leaders.",23 June 2025 9:30am UK time,5 November 2025 11:00am UK time
Statements of Need in Research Infrastructure,https://www.ukri.org/opportunity/statements-of-need-in-research-infrastructure/,"EPSRC wishes to understand the scale, nature, and scientific value of potential large-scale infrastructure investments to maintain the UK as a leading scientific nation. Representatives of relevant scientific communities are invited to submit statements of need according to the assessment criteria.",17 March 2025 9:00am UK time,Date de clôture non spécifiée
EPSRC Programme grant full proposal,https://www.ukri.org/opportunity/epsrc-programme-grant-full-proposal/,Programme grants provide flexible funding to world-leading research groups addressing significant major research challenges.,4 March 2025 9:00am UK time,Date de clôture non spécifiée
Mathematical sciences postdoctoral fellowship,https://www.ukri.org/opportunity/mathematical-sciences-postdoctoral-fellowship/,"These are personal, career development focused awards for the mathematical sciences.",19 February 2025 9:00am UK time,Date de clôture non spécifiée
Pre-announcement: Opening up the Environment 2026,https://www.ukri.org/opportunity/opening-up-the-environment-2026/,Apply for funding to deliver purposeful activities to increase the diversity of the UK environmental science community.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Small molecule high throughput screen using AstraZeneca facilities,https://www.ukri.org/opportunity/small-molecule-high-throughput-screen-using-astrazeneca-facilities/,Apply for funding to run a high throughput screen (HTS) using AstraZeneca’s compound library and screening robots.,10 February 2025 9:00am UK time,9 September 2025 4:00pm UK time
AHRC responsive mode: Curiosity Award,https://www.ukri.org/opportunity/ahrc-responsive-mode-curiosity-award/,"Flexible awards to fund fundamental research that leads to new research agendas, networking activity and idea generation, which enables the development of further research opportunities and new research agendas.",31 January 2025 9:00am UK time,Date de clôture non spécifiée
AHRC responsive mode: catalyst awards,https://www.ukri.org/opportunity/ahrc-responsive-mode-catalyst-awards/,"AHRC awards to support researchers without prior experience of leading a significant research project to accelerate their trajectory as independent researchers, to unlock their potential and build leadership and convenor experience.",31 January 2025 9:00am UK time,Date de clôture non spécifiée
Pushing the frontiers of environmental research: July 2025,https://www.ukri.org/opportunity/pushing-the-frontiers-of-environmental-research-july-2025/,"Apply for funding to pursue an ambitious, high risk and high reward curiosity-driven project in environmental research.",5 February 2025 9:00am UK time,16 July 2025 4:00pm UK time
Mathematical sciences open and open plus fellowship,https://www.ukri.org/opportunity/mathematical-sciences-open-and-open-plus-fellowship/,"These are personal, career development focused awards for the mathematical sciences.",30 January 2025 9:00am UK time,Date de clôture non spécifiée
AHRC responsive mode: UKRI NSF-SBE lead agency,https://www.ukri.org/opportunity/ahrc-responsive-mode-ukri-nsf-sbe-lead-agency/,Apply for funding to work with overseas researchers in the Unites States (US).,11 December 2024 9:00am UK time,Date de clôture non spécifiée
AHRC responsive mode: working with Brazilian researchers,https://www.ukri.org/opportunity/ahrc-responsive-mode-working-with-brazilian-researchers/,"Apply for funding to work with overseas researchers in the State of São Paulo, Brazil.",11 December 2024 9:00am UK time,Date de clôture non spécifiée
AHRC responsive mode: collaborate with researchers in Luxembourg,https://www.ukri.org/opportunity/ahrc-responsive-mode-collaborate-with-researchers-in-luxembourg/,Apply for funding to work with overseas researchers in Luxembourg.,11 December 2024 9:00am UK time,Date de clôture non spécifiée
AHRC responsive mode: standard research grant,https://www.ukri.org/opportunity/ahrc-responsive-mode-standard-research-grant/,"Apply for Arts and Humanities Research Council (AHRC) standard research grant funding to support well-defined collaborative projects across the arts and humanities, in areas covered by our remit.",11 December 2024 9:00am UK time,Date de clôture non spécifiée
EPSRC programme grant outline stage,https://www.ukri.org/opportunity/epsrc-programme-grant-outline-stage/,Programme grants provide flexible funding to world-leading UK research groups addressing significant research challenges.,1 October 2024 9:00am UK time,Date de clôture non spécifiée
International Travel Award Scheme for the Biological Sciences,https://www.ukri.org/opportunity/bbsrc-international-travel-award-scheme/,"Apply for funding to visit international partners, in order to initiate collaborations, prepare joint funding proposals, visit overseas facilities or attend European consortia-building events. Stays may be of up to one month in duration.",1 October 2024 9:00am UK time,30 September 2025 4:00pm UK time
Projects Peer Review Panel (PPRP) 2025,https://www.ukri.org/opportunity/projects-peer-review-panel-pprp-2025/,Apply for funding to develop a large or complex scientific project. You must have already discussed your ideas with one of our programme managers and have been invited to submit a full proposal.,1 October 2024 9:00am UK time,28 August 2025 4:00pm UK time
NERC urgency funding,https://www.ukri.org/opportunity/nerc-urgency-funding-open/,"Apply for funding to respond quickly to transient, unexpected environmental research opportunities created by sporadic natural occurrences such as earthquakes, droughts, floods, or ephemeral events in ecosystems.",8 July 2024 9:00am UK time,Date de clôture non spécifiée
Strategic infrastructure outlines,https://www.ukri.org/opportunity/strategic-infrastructure-outlines/,"Apply for funding to purchase strategic infrastructure including equipment, resources or both.",18 June 2024 9:00am UK time,Date de clôture non spécifiée
Work with US-based researchers on environmental science: NERC-NSF lead agency,https://www.ukri.org/opportunity/work-with-us-based-researchers-on-environmental-science-research/,Apply for funding to work with US-based researchers on an environmental science application.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Collaborate with the functional genomics screening laboratory,https://www.ukri.org/opportunity/collaborate-with-the-functional-genomics-screening-laboratory/,Apply to collaborate with the functional genomics screening laboratory on projects using complex human in vitro models for CRISPR screening to better understand model biology.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Open access fund for longform publications: stage two,https://www.ukri.org/opportunity/open-access-fund-for-longform-publications-stage-two/,Research organisations can claim open access costs for longform publications in-scope of UK Research and Innovation (UKRI)’s open access policy that have been approved at stage one.,15 January 2024 9:00am UK time,Date de clôture non spécifiée
Mathematical sciences small grants,https://www.ukri.org/opportunity/mathematical-sciences-small-grants/,Applications to the Mathematical Sciences Small Grants funding opportunity must focus on original research projects.,2 January 2024 9:00am UK time,Date de clôture non spécifiée
EPSRC network grant: Nov 2023: responsive mode,https://www.ukri.org/opportunity/epsrc-network-grant-nov-2023-responsive-mode/,You can apply for a network grant in any area within the remit of Engineering and Physical Sciences Research Council (EPSRC).,13 November 2023 9:00am UK time,Date de clôture non spécifiée
EPSRC working with overseas scientists: Nov 2023: responsive mode (invite only),https://www.ukri.org/opportunity/epsrc-working-with-overseas-scientists-nov-2023-responsive-mode/,"This is an opportunity for you to work with researchers in Ireland, Luxembourg, Brazil, and the US through EPSRC’s lead agency agreements.",13 November 2023 9:00am UK time,Date de clôture non spécifiée
EPSRC new investigator award: Nov 2023: responsive mode,https://www.ukri.org/opportunity/epsrc-new-investigator-award-nov-2023-responsive-mode/,This funding opportunity is for people who are establishing their own independent research vision.,13 November 2023 9:00am UK time,Date de clôture non spécifiée
"EPSRC discipline hopping in ICT, Nov 2023: responsive mode",https://www.ukri.org/opportunity/epsrc-discipline-hopping-in-ict-nov-2023-responsive-mode/,"This is an opportunity for information and communications technology (ICT) researchers to use their expertise in other disciplines, or for other researchers to apply their expertise to ICT.",13 November 2023 9:00am UK time,Date de clôture non spécifiée
EPSRC overseas travel grant: Nov 2023: responsive mode,https://www.ukri.org/opportunity/epsrc-overseas-travel-grant-nov-2023-responsive-mode/,You can apply for an overseas travel grant in any area within the remit of EPSRC.,13 November 2023 9:00am UK time,Date de clôture non spécifiée
"EPSRC standard research grant, Nov 2023: responsive mode",https://www.ukri.org/opportunity/epsrc-standard-research-grant-nov-2023-responsive-mode/,You can apply for a research grant in any area within the remit of Engineering and Physical Sciences Research Council (EPSRC).,13 November 2023 9:00am UK time,Date de clôture non spécifiée
ESRC responsive mode: research grants round two,https://www.ukri.org/opportunity/esrc-responsive-mode-research-grants-round-two/,"This opportunity funds researcher-driven basic, applied, and strategic research from any disciplines and on any topics in ESRC’s remit, as long as the social sciences are more than 50% of the focus and effort.",29 September 2023 9:00am UK time,Date de clôture non spécifiée
ESRC responsive mode: new investigator grants round two,https://www.ukri.org/opportunity/esrc-responsive-mode-new-investigator-grants-round-two/,This opportunity funds new researchers at the start of their careers to support them to become independent researchers through gaining experience of managing and leading research projects and teams.,29 September 2023 9:00am UK time,Date de clôture non spécifiée
ESRC responsive mode: working with Luxembourg researchers round two,https://www.ukri.org/opportunity/esrc-responsive-mode-working-with-luxembourg-researchers-round-two/,"This opportunity funds collaborative work with researchers in Luxembourg, governed by an agreement between UK Research and Innovation (UKRI) and FNR in Luxembourg.",29 September 2023 9:00am UK time,Date de clôture non spécifiée
ESRC responsive mode: secondary data analysis round two,https://www.ukri.org/opportunity/esrc-responsive-mode-secondary-data-analysis-round-two/,"Individuals and research teams can apply for funding to support high-impact, policy- and practitioner-relevant research through deeper exploitation of existing data resources from any disciplines and on any topics in ESRC’s remit.",29 September 2023 9:00am UK time,Date de clôture non spécifiée
ESRC responsive mode: UKRI-SBE lead agency opportunity round two,https://www.ukri.org/opportunity/esrc-responsive-mode-ukri-sbe-lead-agency-opportunity-round-two/,The UKRI-SBE lead agency funding opportunity allows UK and US-based researchers to submit a collaborative proposal that will go through a single review process. Grants are funded through existing funding programmes at the relevant lead agency.,29 September 2023 9:00am UK time,Date de clôture non spécifiée
ESRC responsive mode: working with Brazilian researchers round two,https://www.ukri.org/opportunity/esrc-responsive-mode-working-with-brazilian-researchers-round-two/,"If you are a UK-based researcher you can apply for funding to work with overseas researchers in the State of São Paulo, Brazil. Submit collaborative research proposals in any area of the social sciences within the remit of both ESRC and FAPESP.",29 September 2023 9:00am UK time,Date de clôture non spécifiée
Collaborate with researchers in Luxembourg,https://www.ukri.org/opportunity/collaborate-with-researchers-in-luxembourg/,UKRI and FNR have signed a memorandum of understanding to enable and support applications between researchers in the UK and Luxembourg. UKRI will fund the UK component and FNR will fund the Luxembourg component of the application.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Researching motor neurone disease: highlight notice,https://www.ukri.org/opportunity/researching-motor-neurone-disease-highlight-notice/,Apply for funding to research motor neurone disease (MND).,1 December 2022,Date de clôture non spécifiée
Work with Brazilian researchers: NERC FAPESP lead agency,https://www.ukri.org/opportunity/work-with-brazilian-researchers-nerc-fapesp-lead-agency/,"This opportunity allows UK-based researchers and researchers in the State of São Paulo, Brazil to submit a collaborative application under existing NERC funding opportunities. This will go through a single review process.",Date d'ouverture non spécifiée,Date de clôture non spécifiée
PATT travel claim for competitively awarded observation time,https://www.ukri.org/opportunity/patt-travel-claim-for-competitively-awarded-observation-time/,Claim back travel and subsistence costs when visiting an astronomy telescope. The visit must be for competitively awarded science observation time.,1 January 2021,Date de clôture non spécifiée
